prod_ai,drug_name,eu_num,hum_or_vet,procedure_type
13C - urea,Helicobacter Test INFAI,EU/1/97/045,Human,Centralised
13C - urea,Pylobactell,EU/1/98/064,Human,Centralised
13C - urea,Pylori-Chek,EU/1/98/068,Human,Centralised
5-Aminolaevulinic acid,Ameluz,EU/1/11/740,Human,Centralised
5-aminolevulinic acid,5-aminolevulinic acid,,Human,Referral
5-aminolevulinic acid hydrochloride,Gliolan,EU/1/07/413,Human,Centralised
606 (301-911) total antigenic mass units of soluble parasite antigen (SPA) from Babesia canis and Babesia rossi cultures,Nobivac Piro,EU/2/04/046,Veterinary,Centralised
abacavir / Lamivudine,Kivexa,EU/1/04/298,Human,Centralised
"abacavir, lamivudine, zidovudine",Trizivir,EU/1/00/156,Human,Centralised
abacavir sulfate,Ziagen,EU/1/99/112,Human,Centralised
abatacept,Orencia,EU/1/07/389,Human,Centralised
abiraterone,Zytiga,EU/1/11/714,Human,Centralised
Acipimox,Olbetam,,Human,Referral
Acipimox,acipimox,,Human,Referral
aclidinium bromide,Bretaris Genuair,EU/1/12/781,Human,Centralised
aclidinium bromide,Eklira Genuair,EU/1/12/778,Human,Centralised
aclidinium bromide / formoterol fumarate dihydrate,Brimica Genuair,EU/1/14/963,Human,Centralised
aclidinium bromide / formoterol fumarate dihydrate,Duaklir Genuair,EU/1/14/964,Human,Centralised
"Actinobacillus pleuropneumoniae serotype 1 (strain NT3) and Actinobacillus pleuropneumoniae serotype 2 (strains PO, U3, B4, SZ II) expressing ApxI toxoid min. 28.9 ELISA unit/ml* ApxII toxoid min. 16.7 ELISA unit/ml ApxIII toxoid min. 6.8 ELISA unit/ml* Elisa unit/ml calculated serological titre in sera of immunised rabbits",Coglapix suspension for injection for pigs,,Veterinary,Referral
adalimumab,AMGEVITA,EU/1/16/1164,Human,Centralised
adalimumab,Cyltezo,EU/1/17/1240,Human,Centralised
adalimumab,Humira,EU/1/03/256,Human,Centralised
