prod_ai,trade_name,nda_num
BUDESONIDE,UCERIS,205613
MINOCYCLINE HYDROCHLORIDE,AMZEEQ,212379
AZELAIC ACID,AZELAIC ACID,210928
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,78337
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,207144
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,208204
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,90785
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,210004
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,210809
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,211450
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,206805
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,77763
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,201402
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,208779
ECONAZOLE NITRATE,ECOZA,205175
BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,ENSTILAR,207589
CLINDAMYCIN PHOSPHATE,EVOCLIN,50801
KETOCONAZOLE,EXTINA,21738
TAZAROTENE,FABIOR,202428
AZELAIC ACID,FINACEA,207071
KETOCONAZOLE,KETOCONAZOLE,91550
HALOBETASOL PROPIONATE,LEXETTE,210566
BETAMETHASONE VALERATE,LUXIQ,20934
MINOXIDIL,MEN'S ROGAINE,21812
MINOXIDIL,MINOXIDIL,91344
MINOXIDIL,MINOXIDIL (FOR MEN),208092
MINOXIDIL,MINOXIDIL (FOR MEN),209074
MINOXIDIL,MINOXIDIL (FOR WOMEN),208092
MINOXIDIL,MINOXIDIL (FOR WOMEN),209074
CLOBETASOL PROPIONATE,OLUX,21142
CLOBETASOL PROPIONATE,OLUX E,22013
CALCIPOTRIENE,SORILUX,22563
DESONIDE,VERDESO,21978
MINOXIDIL,WOMEN'S ROGAINE,21812
MINOCYCLINE HYDROCHLORIDE,ZILXI,213690
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,ADVAIR HFA,21254
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,ADVAIR HFA,21254
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,ADVAIR HFA,21254
FLUNISOLIDE,AEROBID,18340
FLUNISOLIDE,AEROSPAN HFA,21247
ALBUTEROL,ALBUTEROL,72273
ALBUTEROL,ALBUTEROL,73045
ALBUTEROL,ALBUTEROL,73272
ALBUTEROL,ALBUTEROL,74072
ALBUTEROL SULFATE,ALBUTEROL SULFATE,209959
ALBUTEROL SULFATE,ALBUTEROL SULFATE,209954
ALBUTEROL SULFATE,ALBUTEROL SULFATE,203760
METAPROTERENOL SULFATE,ALUPENT,16402
CICLESONIDE,ALVESCO,21658
CICLESONIDE,ALVESCO,21658
MOMETASONE FUROATE,ASMANEX HFA,205641
MOMETASONE FUROATE,ASMANEX HFA,205641
MOMETASONE FUROATE,ASMANEX HFA,205641
ATROPINE SULFATE,ATROPINE SULFATE,20056
IPRATROPIUM BROMIDE,ATROVENT,19085
IPRATROPIUM BROMIDE,ATROVENT HFA,21527
TRIAMCINOLONE ACETONIDE,AZMACORT,18117
BECLOMETHASONE DIPROPIONATE,BECLOVENT,18153
FORMOTEROL FUMARATE; GLYCOPYRROLATE,BEVESPI AEROSPHERE,208294
TERBUTALINE SULFATE,BRETHAIRE,18762
BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,BREZTRI AEROSPHERE,212122
TERBUTALINE SULFATE,BRICANYL,18000
SODIUM CHLORIDE,BRONCHO SALINE,19912
EPINEPHRINE BITARTRATE,BRONITIN MIST,16126
EPINEPHRINE,BRONKAID MIST,16803
ISOETHARINE MESYLATE,BRONKOMETER,12339
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,COMBIVENT,20291
DEXAMETHASONE SODIUM PHOSPHATE,DEXACORT,13413
FORMOTEROL FUMARATE; MOMETASONE FUROATE,DULERA,22518
FORMOTEROL FUMARATE; MOMETASONE FUROATE,DULERA,22518
FORMOTEROL FUMARATE; MOMETASONE FUROATE,DULERA,22518
ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE,DUO-MEDIHALER,13296
EPINEPHRINE,EPINEPHRINE,87907
FLUTICASONE PROPIONATE,FLOVENT,20548
FLUTICASONE PROPIONATE,FLOVENT,20548
FLUTICASONE PROPIONATE,FLOVENT,20548
FLUTICASONE PROPIONATE,FLOVENT HFA,21433
FLUTICASONE PROPIONATE,FLOVENT HFA,21433
FLUTICASONE PROPIONATE,FLOVENT HFA,21433
CROMOLYN SODIUM,INTAL,18887
ISOETHARINE MESYLATE,ISOETHARINE MESYLATE,87858
ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,10375
ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,85904
ISOPROTERENOL HYDROCHLORIDE,ISUPREL,11178
PIRBUTEROL ACETATE,MAXAIR,19009
PIRBUTEROL ACETATE,MAXAIR,20014
ERGOTAMINE TARTRATE,MEDIHALER ERGOTAMINE,12102
EPINEPHRINE BITARTRATE,MEDIHALER-EPI,10374
ISOPROTERENOL SULFATE,MEDIHALER-ISO,10375
EPINEPHRINE,PRIMATENE MIST,205920
EPINEPHRINE,PRIMATENE MIST,16126
ALBUTEROL SULFATE,PROAIR HFA,21457
ALBUTEROL,PROVENTIL,17559
ALBUTEROL SULFATE,PROVENTIL-HFA,20503
BECLOMETHASONE DIPROPIONATE,QVAR 40,20911
BECLOMETHASONE DIPROPIONATE,QVAR 80,20911
BECLOMETHASONE DIPROPIONATE,QVAR REDIHALER,207921
BECLOMETHASONE DIPROPIONATE,QVAR REDIHALER,207921
SALMETEROL XINAFOATE,SEREVENT,20236
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,SYMBICORT,21929
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,SYMBICORT,21929
NEDOCROMIL SODIUM,TILADE,19660
BITOLTEROL MESYLATE,TORNALATE,18770
BECLOMETHASONE DIPROPIONATE,VANCERIL,17573
BECLOMETHASONE DIPROPIONATE,VANCERIL DOUBLE STRENGTH,20486
ALBUTEROL,VENTOLIN,18473
ALBUTEROL SULFATE,VENTOLIN HFA,20983
LEVALBUTEROL TARTRATE,XOPENEX HFA,21730
BECLOMETHASONE DIPROPIONATE,BECONASE,18584
TRIAMCINOLONE ACETONIDE,NASACORT,19798
BECLOMETHASONE DIPROPIONATE,QNASL,202813
BECLOMETHASONE DIPROPIONATE,QNASL,202813
BUDESONIDE,RHINOCORT,20233
BECLOMETHASONE DIPROPIONATE,VANCENASE,18521
CICLESONIDE,ZETONNA,202129
HYDROCORTISONE ACETATE,CORTIFOAM,17351
NITROGLYCERIN,NITROMIST,21780
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,EPIFOAM,86457
CHLORHEXIDINE GLUCONATE,EXIDINE,19127
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1%,89440
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,PROCTOFOAM HC,86195
TALC,SCLEROSOL,20587
DEXAMETHASONE SODIUM PHOSPHATE,DEXACORT,14242
LIDOCAINE,XYLOCAINE,14394
NITROGLYCERIN,NITROLINGUAL,18705
DEXAMETHASONE,AEROSEB-DEX,83296
HYDROCORTISONE,AEROSEB-HC,85805
