rxcui,og_score,og_query,rxnorm_concept,new_score,new_score_ord
1111700.0,50,ioscan,Iosat,50,50
36676.0,67,bicarbonate de sodium,sodium bicarbonate,19,85
236486.0,100,omeprazole magnesium,omeprazole magnesium,100,100
2283546.0,42,oral 1.0 df tablet,cholecalciferol 0.095 MG / folic acid 1 MG Oral Tablet,25,24
21116.0,50,contol,eucalyptol,40,40
92010.0,50,teolin slow release,,0,0
93204.0,67,mag ox,Mag-Ox 400,30,30
897123.0,75,virtoza,Victoza,71,71
6536.0,100,lysine hydrochloride,lysine,30,30
8887.0,50,venolan,Ventolin,62,62
2551.0,100,ciprofloxacin,ciprofloxacin,100,100
2623.0,100,clotrimazole,clotrimazole,100,100
1102271.0,100,rilpivirine 25 mg,rilpivirine 25 MG,88,88
1232088.0,75,rivaroxaban 20 mg film coated tablet,rivaroxaban 20 MG Oral Tablet [Xarelto],53,28
1947741.0,67,absorbase ointment,,0,0
1797849.0,56,dymista 50 mcg mckeasson nasal spray,azelastine hydrochloride 0.137 MG/ACTUAT / fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Dymista],17,17
196460.0,50,opodis,Kerlone,0,0
196502.0,75,lemictal,Lamictal,75,75
4910.0,50,glycerol trinitate,glycerin,44,44
1152842.0,67,acetaminophen oral,acetaminophen Oral Product,65,30
7886.0,50,b15,pangamic acid,0,0
753987.0,17,honopure immune supplement,Menopur,19,19
317407.0,60,lorazepam 20.0 mg,lorazepam 0.5 MG,76,52
545835.0,44,leuprolide acetate subcutaneous 1 df,leuprolide acetate 5 MG/ML Injectable Solution,47,26
225036.0,50,lovonix,Lovenox,57,57
1113432.0,50,doxycycline 150mg/day,doxycycline hyclate 0.1 MG/MG,44,41
1091.0,100,l?arginine,arginine,80,80
1310635.0,100,osteo?bi?flex,Osteo Bi-Flex,61,7
215198.0,75,aluminum/magnesium/simethicone,,0,0
753517.0,17,loxen lp50,Luden's,20,20
1537050.0,100,vorapaxar,vorapaxar sulfate,52,52
15996.0,100,mirtazapine 15,mirtazapine,78,78
1150102.0,75,florajan,Florajen,75,75
214182.0,88,hydrocodone/acetaminophine,acetaminophen / hydrocodone,14,14
312085.0,71,ondansetron hydrochloride oral 8.0 mg,ondansetron 0.8 MG/ML Oral Solution,40,32
1598473.0,67,centrum multigummie adult,,0,0
71504.0,100,primperan,,0,0
5720.0,100,immunoglobulin,,0,0
48470.0,50,creon with food,Creon,26,26
151539.0,50,combligance,Combivent,45,45
813233.0,50,probiotic-sacrophilis,,0,0
235824.0,75,azelasrine,azelastine hydrochloride,37,37
1427154.0,50,dimetapp,,0,0
5436.0,33,unspecified hormone patch,,0,0
979100.0,25,tantril tablet,Bontril,35,35
215943.0,100,century,,0,0
284758.0,100,kogenate f,,0,0
40144.0,100,levothyroxine sodium,levothyroxine sodium,100,100
1310475.0,83,benadryl-diphenhydramine oral 10 mg tablet,diphenhydramine hydrochloride 10 MG Oral Tablet,40,46
884224.0,39,clonipine nos oral .5 mg,clonidine hydrochloride 0.5 MG/ML,48,45
38782.0,100,triptorelin pamoate,triptorelin,57,57
142437.0,100,flavoxate hydrochloride,flavoxate hydrochloride,100,100
8627.0,75,razepam,prazepam,87,87
1659149.0,80,piperacillin sodium\tazobactam sodium intravenous 4.5 gm,piperacillin 4000 MG / tazobactam 500 MG Injection,42,37
1011865.0,50,vitamin to go,,0,0
362.0,100,epinephrine,epinephrine hydrochloride,44,44
72210.0,25,accupaque,Accupril,44,44
151870.0,100,hydergine,,0,0
202368.0,75,vanocin,Vancocin,75,75
1292.0,100,baclofen,baclofen,100,100
203661.0,100,declomycin,Declomycin,90,90
317428.0,100,metronidazole 500 mg,metronidazole 500 MG,90,70
476809.0,56,mirtazapine brand name not specify 7.5 mg tablet,mirtazapine 7.5 MG Oral Tablet,41,27
967916.0,67,citracal+d3 maximum,Maximum D3,15,42
