rxcui,og_score,og_query,rxnorm_concept
1111700.0,50,ioscan,Iosat
36676.0,67,bicarbonate de sodium,sodium bicarbonate
236486.0,100,omeprazole magnesium,omeprazole magnesium
2283546.0,42,oral 1.0 df tablet,cholecalciferol 0.095 MG / folic acid 1 MG Oral Tablet
21116.0,50,contol,eucalyptol
92010.0,50,teolin slow release,<NA>
93204.0,67,mag ox,Mag-Ox 400
897123.0,75,virtoza,Victoza
6536.0,100,lysine hydrochloride,lysine
8887.0,50,venolan,Ventolin
2551.0,100,ciprofloxacin,ciprofloxacin
2623.0,100,clotrimazole,clotrimazole
1102271.0,100,rilpivirine 25 mg,rilpivirine 25 MG
1232088.0,75,rivaroxaban 20 mg film coated tablet,rivaroxaban 20 MG Oral Tablet [Xarelto]
1947741.0,67,absorbase ointment,<NA>
1797849.0,56,dymista 50 mcg mckeasson nasal spray,azelastine hydrochloride 0.137 MG/ACTUAT / fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Dymista]
196460.0,50,opodis,Kerlone
196502.0,75,lemictal,Lamictal
4910.0,50,glycerol trinitate,glycerin
1152842.0,67,acetaminophen oral,acetaminophen Oral Product
7886.0,50,b15,pangamic acid
753987.0,17,honopure immune supplement,Menopur
317407.0,60,lorazepam 20.0 mg,lorazepam 0.5 MG
545835.0,44,leuprolide acetate subcutaneous 1 df,leuprolide acetate 5 MG/ML Injectable Solution
225036.0,50,lovonix,Lovenox
1113432.0,50,doxycycline 150mg/day,doxycycline hyclate 0.1 MG/MG
1091.0,100,l?arginine,arginine
1310635.0,100,osteo?bi?flex,Osteo Bi-Flex
215198.0,75,aluminum/magnesium/simethicone,<NA>
753517.0,17,loxen lp50,Luden's
1537050.0,100,vorapaxar,vorapaxar sulfate
15996.0,100,mirtazapine 15,mirtazapine
1150102.0,75,florajan,Florajen
214182.0,88,hydrocodone/acetaminophine,acetaminophen / hydrocodone
312085.0,71,ondansetron hydrochloride oral 8.0 mg,ondansetron 0.8 MG/ML Oral Solution
1598473.0,67,centrum multigummie adult,<NA>
71504.0,100,primperan,<NA>
5720.0,100,immunoglobulin,<NA>
48470.0,50,creon with food,Creon
151539.0,50,combligance,Combivent
813233.0,50,probiotic-sacrophilis,<NA>
235824.0,75,azelasrine,azelastine hydrochloride
1427154.0,50,dimetapp,<NA>
5436.0,33,unspecified hormone patch,<NA>
979100.0,25,tantril tablet,Bontril
215943.0,100,century,<NA>
284758.0,100,kogenate f,<NA>
40144.0,100,levothyroxine sodium,levothyroxine sodium
1310475.0,83,benadryl-diphenhydramine oral 10 mg tablet,diphenhydramine hydrochloride 10 MG Oral Tablet
884224.0,39,clonipine nos oral .5 mg,clonidine hydrochloride 0.5 MG/ML
38782.0,100,triptorelin pamoate,triptorelin
142437.0,100,flavoxate hydrochloride,flavoxate hydrochloride
8627.0,75,razepam,prazepam
1659149.0,80,piperacillin sodium\tazobactam sodium intravenous 4.5 gm,piperacillin 4000 MG / tazobactam 500 MG Injection
1011865.0,50,vitamin to go,<NA>
362.0,100,epinephrine,epinephrine hydrochloride
72210.0,25,accupaque,Accupril
151870.0,100,hydergine,<NA>
202368.0,75,vanocin,Vancocin
1292.0,100,baclofen,baclofen
203661.0,100,declomycin,Declomycin
317428.0,100,metronidazole 500 mg,metronidazole 500 MG
476809.0,56,mirtazapine brand name not specify 7.5 mg tablet,mirtazapine 7.5 MG Oral Tablet
967916.0,67,citracal+d3 maximum,Maximum D3
311787.0,100,moxifloxacin oral 400 mg film-coated tablet,moxifloxacin 400 MG Oral Tablet
316408.0,75,omperezole 20 mg,omeprazole 20 MG
7405.0,50,3 vitamin compound,niacinamide
310273.0,100,famotidine tablet 20 mg,famotidine 20 MG Oral Tablet
203058.0,100,vepeside,<NA>
